team,season,conference,wins,recruiting_rank,talent_composite,sp_overall,transfers_in,avg_stars_in,adj_nil_value,nil_pred_ensemble,nil_final,nil_is_actual
Georgia,2021,SEC,14,3.0,1001.79,32.0,3.0,4.0,,5335265.372496411,5335265.372496411,False
Alabama,2021,SEC,13,1.0,1004.04,26.0,4.0,3.0,,4300029.551855478,4300029.551855478,False
Ohio State,2021,Big Ten,11,2.0,985.09,29.3,1.0,2.0,,3249368.9524661945,3249368.9524661945,False
LSU,2021,SEC,6,4.0,903.72,4.1,2.0,3.5,,2852668.906097506,2852668.906097506,False
Notre Dame,2021,FBS Independents,11,9.0,853.1,17.4,4.0,3.75,,2788314.1613775184,2788314.1613775184,False
USC,2021,Pac-12,4,8.0,874.5,-0.6,9.0,3.111111111111111,,2782802.263620494,2782802.263620494,False
Oklahoma,2021,Big 12,11,11.0,895.38,16.8,10.0,3.3333333333333335,,2557857.8627461446,2557857.8627461446,False
Miami,2021,ACC,7,12.0,841.45,10.8,4.0,3.25,,2370834.6801622007,2370834.6801622007,False
Texas A&M,2021,SEC,8,7.0,888.35,21.1,1.0,3.0,,2285592.076835555,2285592.076835555,False
North Carolina,2021,ACC,6,14.0,798.29,6.4,1.0,4.0,,2204760.766057764,2204760.766057764,False
Texas,2021,Big 12,5,17.0,874.19,8.5,8.0,3.125,,2182289.84659421,2182289.84659421,False
Michigan,2021,Big Ten,12,10.0,832.6,23.4,5.0,3.0,,2083878.2013723888,2083878.2013723888,False
Florida,2021,SEC,6,13.0,885.67,11.0,7.0,3.1666666666666665,,2042200.0562666205,2042200.0562666205,False
Auburn,2021,SEC,6,30.0,840.38,11.0,10.0,3.1,,2030223.373419574,2030223.373419574,False
Florida State,2021,ACC,5,22.0,769.76,7.6,12.0,3.090909090909091,,1921361.6103042876,1921361.6103042876,False
Tennessee,2021,SEC,7,16.0,780.83,17.5,10.0,3.1,,1873069.1559957098,1873069.1559957098,False
Stanford,2021,Pac-12,3,51.0,745.3,-10.2,1.0,4.0,,1870118.6637336037,1870118.6637336037,False
Washington,2021,Pac-12,4,35.0,789.51,-0.7,4.0,3.25,,1799635.3836927894,1799635.3836927894,False
