season,team,xfer_in_count,xfer_in_avg_p,xfer_out_count,xfer_out_avg_p,stars5_in,stars5_out,stars4_in,stars4_out,stars3_in,stars3_out,adj_nil_value,portal_index,source
2022,Ole Miss,18,,24,,,,,,,,2300000.0,7,wayback_2022
2022,Ole Miss,18,,24,,,,,,,,2300000.0,73,wayback_2022
2022,USC,19,,25,,,,,,,,4200000.0,42,wayback_2022
2022,South Carolina,9,,19,,,,,,,,3900000.0,32,wayback_2022
2022,Louisville,10,,18,,,,,,,,4300000.0,28,wayback_2022
2022,LSU,18,,17,,,,,,,,3700000.0,27,wayback_2022
2022,Miami,11,,14,,,,,,,,4600000.0,26,wayback_2022
2022,UCLA,13,,22,,,,,,,,2600000.0,26,wayback_2022
2022,Texas,7,,22,,,,,,,,5500000.0,24,wayback_2022
2022,Arkansas,9,,19,,,,,,,,5100000.0,22,wayback_2022
2022,Alabama,5,,22,,,,,,,,5800000.0,20,wayback_2022
2022,Arizona,9,,32,,,,,,,,2300000.0,16,wayback_2022
2022,Kentucky,8,,19,,,,,,,,3000000.0,16,wayback_2022
2022,Kansas,10,,20,,,,,,,,2300000.0,14,wayback_2022
2022,Texas Tech,16,,11,,,,,,,,2400000.0,14,wayback_2022
2022,Michigan State,8,,22,,,,,,,,3900000.0,14,wayback_2022
2022,Nebraska,16,,20,,,,,,,,3400000.0,12,wayback_2022
2022,Rutgers,7,,25,,,,,,,,2300000.0,9,wayback_2022
2022,Michigan,3,,13,,,,,,,,7600000.0,9,wayback_2022
2022,Mississippi State,8,,19,,,,,,,,2900000.0,8,wayback_2022
2022,Baylor,3,,6,,,,,,,,1900000.0,7,wayback_2022
2022,Penn State,4,,11,,,,,,,,4300000.0,6,wayback_2022
2022,Indiana,14,,34,,,,,,,,3300000.0,6,wayback_2022
2022,Notre Dame,3,,15,,,,,,,,3900000.0,5,wayback_2022
2022,Maryland,7,,29,,,,,,,,2600000.0,4,wayback_2022
2022,North Carolina,5,,14,,,,,,,,4800000.0,4,wayback_2022
2022,Boston College,3,,13,,,,,,,,2200000.0,4,wayback_2022
2022,Ohio State,2,,20,,,,,,,,10200000.0,4,wayback_2022
2022,Kansas State,6,,17,,,,,,,,2500000.0,3,wayback_2022
2022,Minnesota,8,,27,,,,,,,,3300000.0,3,wayback_2022
2022,NC State,4,,10,,,,,,,,2700000.0,2,wayback_2022
2022,Wisconsin,6,,12,,,,,,,,4300000.0,2,wayback_2022
2022,Washington,9,,21,,,,,,,,6100000.0,2,wayback_2022
2022,Iowa,1,,7,,,,,,,,2400000.0,2,wayback_2022
2022,Florida State,14,,28,,,,,,,,4400000.0,2,wayback_2022
2022,Missouri,11,,19,,,,,,,,3500000.0,1,wayback_2022
2022,Auburn,10,,26,,,,,,,,5300000.0,0,wayback_2022
2022,California,6,,12,,,,,,,,2200000.0,0,wayback_2022
2022,West Virginia,10,,25,,,,,,,,3100000.0,1,wayback_2022
2022,Syracuse,7,,18,,,,,,,,2300000.0,1,wayback_2022
2022,Texas A&M,2,,13,,,,,,,,5900000.0,1,wayback_2022
2022,Iowa State,4,,18,,,,,,,,1900000.0,2,wayback_2022
2022,Duke,10,,12,,,,,,,,2600000.0,2,wayback_2022
2022,Purdue,8,,16,,,,,,,,2500000.0,4,wayback_2022
2022,Tennessee,8,,18,,,,,,,,3600000.0,4,wayback_2022
2022,Clemson,1,,11,,,,,,,,5300000.0,4,wayback_2022
2022,Utah,7,,16,,,,,,,,3000000.0,5,wayback_2022
2022,Florida,6,,15,,,,,,,,4500000.0,5,wayback_2022
2022,Wake Forest,3,,11,,,,,,,,2800000.0,6,wayback_2022
2022,Oregon State,2,,16,,,,,,,,2500000.0,7,wayback_2022
2022,Virginia Tech,5,,13,,,,,,,,3100000.0,7,wayback_2022
2024,Louisville,31,,33,,,,,,,,843000.0,2,wayback_2024
2024,Louisville,31,,33,,,,,,,,843000.0,70,wayback_2024
2024,Colorado,42,,45,,,,,,,,12200000.0,69,wayback_2024
2024,Florida State,17,,27,,,,,,,,1800000.0,51,wayback_2024
2024,Ole Miss,26,,23,,,,,,,,1800000.0,47,wayback_2024
2024,Oregon,12,,18,,,,,,,,5200000.0,45,wayback_2024
2024,Texas,11,,25,,,,,,,,11100000.0,41,wayback_2024
2024,NC State,15,,24,,,,,,,,953000.0,36,wayback_2024
2024,Syracuse,18,,28,,,,,,,,1100000.0,33,wayback_2024
