abbreviation	alternate_color	color	display_name	guid	is_active	location	name	nickname	short_name	team_id	uid
AUB	f26522	002b5c	Auburn Tigers	6a581b24-2e59-a315-6f91-e85d722f4e9f	True	Auburn	Tigers	Auburn	Auburn	2	s:20~l:23~t:2
UAB	fdb913	1a5632	UAB Blazers	eaa0d4dc-a0ef-2faa-6c5d-ee4326bf5857	True	UAB	Blazers	UAB	UAB	5	s:20~l:23~t:5
USA	bf0d3e	00205b	South Alabama Jaguars	9b9a3d1f-6d57-0dd0-9173-ecc56f34075e	True	South Alabama	Jaguars	South Alabama	South Alabama	6	s:20~l:23~t:6
ARK	ffffff	a32136	Arkansas Razorbacks	10e2d279-fb50-0b76-ba89-3dbe9d43fa2f	True	Arkansas	Razorbacks	Arkansas	Arkansas	8	s:20~l:23~t:8
ASU	8c1d40	ffc627	Arizona State Sun Devils	d60a0d84-8fa8-2bdf-13ec-fb0f9deda94c	True	Arizona State	Sun Devils	Arizona St	Arizona St	9	s:20~l:23~t:9
ARIZ	003366	cc0033	Arizona Wildcats	5a61563b-c845-e697-bc8a-231ce180e0e3	True	Arizona	Wildcats	Arizona	Arizona	12	s:20~l:23~t:12
SAC	cdb97d	00573C	Sacramento State Hornets	2bcff5f8-a7ac-73b2-b5ff-dfbef2fa679c	True	Sacramento State	Hornets	Sacramento St	Sacramento St	16	s:20~l:23~t:16
SDSU	000000	a6192e	San Diego State Aztecs	9947474f-7dd9-968b-c95d-bcc11800bdcd	True	San Diego State	Aztecs	San Diego St	San Diego St	21	s:20~l:23~t:21
SJSU	ffb81a	0038a8	San José State Spartans	c9c00b13-c5de-9db2-8e27-7ed43d9a5c9a	True	San José State	Spartans	San José St	San José St	23	s:20~l:23~t:23
STAN	ffffff	8c1515	Stanford Cardinal	f74a44c4-7492-7a6e-34fe-ab14da6d7f2a	True	Stanford	Cardinal	Stanford	Stanford	24	s:20~l:23~t:24
CAL	ffc72c	041e42	California Golden Bears	bc456bd2-12dc-1f16-79d5-da8899277a32	True	California	Golden Bears	California	California	25	s:20~l:23~t:25
UCLA	f2a900	2774ae	UCLA Bruins	426a47d7-bf9e-2d90-af84-6533b43957e0	True	UCLA	Bruins	UCLA	UCLA	26	s:20~l:23~t:26
USC	ffc72c	9d2235	USC Trojans	63d7a1b4-ee19-f0ae-33c5-42a14e000fb8	True	USC	Trojans	USC	USC	30	s:20~l:23~t:30
CSU	c8c372	004c23	Colorado State Rams	0a69e6dc-71b5-57a3-7254-341426f50c2f	True	Colorado State	Rams	Colorado St	Colorado St	36	s:20~l:23~t:36
COLO	000000	cfb87c	Colorado Buffaloes	78bdee7f-11f2-3bf9-f93e-a8e3831c2792	True	Colorado	Buffaloes	Colorado	Colorado	38	s:20~l:23~t:38
CONN	a2aaad	0c2340	UConn Huskies	61fe4cfc-4b1e-a550-c0a4-818e3897b943	True	UConn	Huskies	UConn	UConn	41	s:20~l:23~t:41
DEL	ffd200	00539f	Delaware Blue Hens	ea0ddc3a-a03e-1891-039e-46cb06e589f9	True	Delaware	Blue Hens	Delaware	Delaware	48	s:20~l:23~t:48
FSU	ceb888	782f40	Florida State Seminoles	fa181128-4809-a209-1add-d5a3b0cefd3c	True	Florida State	Seminoles	Florida St	Florida St	52	s:20~l:23~t:52
JVST	000000	cc0000	Jacksonville State Gamecocks	36b3d085-7d2b-1dbe-4f3b-404354883093	True	Jacksonville State	Gamecocks	Jax State	Jax State	55	s:20~l:23~t:55
FLA	fa4616	0021a5	Florida Gators	fe74bfd9-c15e-7b3a-ab25-ff4e5636282e	True	Florida	Gators	Florida	Florida	57	s:20~l:23~t:57
USF	cfc493	006747	South Florida Bulls	ffff063f-c8a9-7bd0-d414-93464f5b4ce0	True	South Florida	Bulls	South Florida	South Florida	58	s:20~l:23~t:58
GT	ffffff	b3a369	Georgia Tech Yellow Jackets	e2e3ae48-f880-5489-0628-b2286d0adca1	True	Georgia Tech	Yellow Jackets	Georgia Tech	Georgia Tech	59	s:20~l:23~t:59
UGA	2c2a29	ba0c2f	Georgia Bulldogs	4351fef8-fe69-53b1-ea57-72684b36ec35	True	Georgia	Bulldogs	Georgia	Georgia	61	s:20~l:23~t:61
HAW	000000	005737	Hawai'i Rainbow Warriors	d50009ca-5143-9322-d577-17d7115a6c54	True	Hawai'i	Rainbow Warriors	Hawai'i	Hawai'i	62	s:20~l:23~t:62
ISU	ffc72a	ae192d	Iowa State Cyclones	98f92ad4-696c-890b-02e0-f7609d89e38c	True	Iowa State	Cyclones	Iowa State	Iowa State	66	s:20~l:23~t:66
BOIS	d64309	0033a0	Boise State Broncos	ef2be04b-491c-0b6d-e4d9-1fbf2ab5cbca	True	Boise State	Broncos	Boise St	Boise St	68	s:20~l:23~t:68
NU	ffffff	492f92	Northwestern Wildcats	ca8359bf-52ca-f069-b9c4-bbfbcfc15c64	True	Northwestern	Wildcats	Northwestern	Northwestern	77	s:20~l:23~t:77
IU	ffffff	970310	Indiana Hoosiers	bd06efe1-3050-2356-37c1-4b3fef1c29be	True	Indiana	Hoosiers	Indiana	Indiana	84	s:20~l:23~t:84
ND	c99700	062340	Notre Dame Fighting Irish	ebc2999c-2ff4-8435-ca46-9641e9f9ea10	True	Notre Dame	Fighting Irish	Notre Dame	Notre Dame	87	s:20~l:23~t:87
UK	ffffff	0033a0	Kentucky Wildcats	d5ec1329-3c7b-93e8-6f57-982c4f33ea75	True	Kentucky	Wildcats	Kentucky	Kentucky	96	s:20~l:23~t:96
LOU	ffffff	c9001f	Louisville Cardinals	0584f11f-3e1c-d2ac-b852-35a74216c53e	True	Louisville	Cardinals	Louisville	Louisville	97	s:20~l:23~t:97
WKU	ffffff	e13a3e	Western Kentucky Hilltoppers	c040b0cf-ecec-ea8d-c2c6-e32eaf01fec9	True	Western Kentucky	Hilltoppers	Western KY	Western KY	98	s:20~l:23~t:98
LSU	fdd023	461d76	LSU Tigers	b9a22bd6-7449-92bc-0e95-a6d8da673b3e	True	LSU	Tigers	LSU	LSU	99	s:20~l:23~t:99
BC	dbcca6	8c2232	Boston College Eagles	4abb970f-c9e6-7576-3daa-703957b91293	True	Boston College	Eagles	Boston College	Boston College	103	s:20~l:23~t:103
MASS	ffffff	881c1c	Massachusetts Minutemen	50c83446-93c9-1e06-72cb-e90a185624b8	True	Massachusetts	Minutemen	UMass	UMass	113	s:20~l:23~t:113
MD	ffffff	ce1126	Maryland Terrapins	7dae6b2a-7a04-6d4d-6e35-a625805c6c0a	True	Maryland	Terrapins	Maryland	Maryland	120	s:20~l:23~t:120
MSU	ffffff	173f35	Michigan State Spartans	832ac71d-f1e2-6069-3386-0251865c339e	True	Michigan State	Spartans	Michigan St	Michigan St	127	s:20~l:23~t:127
MICH	ffcb05	00274c	Michigan Wolverines	ea1660a4-aeb8-b9da-7d9f-fcd70d3a0162	True	Michigan	Wolverines	Michigan	Michigan	130	s:20~l:23~t:130
MINN	fab41c	5e0a2f	Minnesota Golden Gophers	8389ae8e-d0ed-c4e5-b903-fcc01fc30fc2	True	Minnesota	Golden Gophers	Minnesota	Minnesota	135	s:20~l:23~t:135
MIZ	000000	f1b82d	Missouri Tigers	6bbe4a57-263d-12b2-639a-f1db99afcac9	True	Missouri	Tigers	Missouri	Missouri	142	s:20~l:23~t:142
MISS	cf142b	13294b	Ole Miss Rebels	f6196074-c394-4821-7b0b-c4271d9467de	True	Ole Miss	Rebels	Ole Miss	Ole Miss	145	s:20~l:23~t:145
DUKE	ffffff	00539b	Duke Blue Devils	33423e84-1594-6373-1025-20cdd256c421	True	Duke	Blue Devils	Duke	Duke	150	s:20~l:23~t:150
ECU	ffc72c	582c83	East Carolina Pirates	d42cb6f4-41d2-e072-0b54-e6d123a92654	True	East Carolina	Pirates	East Carolina	East Carolina	151	s:20~l:23~t:151
NCSU	ffffff	cc0000	NC State Wolfpack	1a66a197-258b-8ac5-56f9-6f4b6ec4d4ed	True	NC State	Wolfpack	NC State	NC State	152	s:20~l:23~t:152
UNC	13294b	7bafd4	North Carolina Tar Heels	30776972-a2c7-1cf2-4530-1c3820f5a4ea	True	North Carolina	Tar Heels	North Carolina	North Carolina	153	s:20~l:23~t:153
WAKE	2c2a29	ceb888	Wake Forest Demon Deacons	f6a988be-475f-6cad-3569-47b6803c25cb	True	Wake Forest	Demon Deacons	Wake Forest	Wake Forest	154	s:20~l:23~t:154
NEB	ffffff	e31937	Nebraska Cornhuskers	e9635416-dfc2-d9d6-ff1c-3e0f70ab2d8c	True	Nebraska	Cornhuskers	Nebraska	Nebraska	158	s:20~l:23~t:158
RUTG	ffffff	ce0e2d	Rutgers Scarlet Knights	3f06733d-8d8a-7044-6b24-e0ba817e25f0	True	Rutgers	Scarlet Knights	Rutgers	Rutgers	164	s:20~l:23~t:164
NMSU	231f20	7e141b	New Mexico State Aggies	e644e31c-a675-ce91-6e4a-78269c5b718a	True	New Mexico State	Aggies	New Mexico St	New Mexico St	166	s:20~l:23~t:166
UNM	a7a8aa	ba0c2f	New Mexico Lobos	a35083ab-ed9e-a3f2-be14-f7958c2b6655	True	New Mexico	Lobos	New Mexico	New Mexico	167	s:20~l:23~t:167
SYR	ff431b	000e54	Syracuse Orange	8a53c7d6-5f95-d1c0-ed4e-374f53b04443	True	Syracuse	Orange	Syracuse	Syracuse	183	s:20~l:23~t:183
BGSU	4f2c1d	fd5000	Bowling Green Falcons	bd2c9085-0c46-7f7d-4b18-8ee8ae1bf970	True	Bowling Green	Falcons	Bowling Green	Bowling Green	189	s:20~l:23~t:189
M-OH	ffffff	c41230	Miami (OH) RedHawks	4602583d-e1f5-2bad-c785-37bb45e2406b	True	Miami (OH)	RedHawks	Miami OH	Miami OH	193	s:20~l:23~t:193
OSU	a8adb4	ba0c2f	Ohio State Buckeyes	2fc3b71f-8247-22a5-f6da-df3902cbb438	True	Ohio State	Buckeyes	Ohio State	Ohio State	194	s:20~l:23~t:194
OHIO	ffffff	154734	Ohio Bobcats	eb84d343-74ae-03e0-bff8-6c19b5b917e6	True	Ohio	Bobcats	Ohio	Ohio	195	s:20~l:23~t:195
OKST	000000	fe5c00	Oklahoma State Cowboys	556bcca7-0c38-f441-d76f-13bf46ff4042	True	Oklahoma State	Cowboys	Oklahoma St	Oklahoma St	197	s:20~l:23~t:197
OU	ffffff	990000	Oklahoma Sooners	67d60bca-1b6b-8d78-81ae-6889e883bb96	True	Oklahoma	Sooners	Oklahoma	Oklahoma	201	s:20~l:23~t:201
TLSA	d0b787	003595	Tulsa Golden Hurricane	d4483de2-dfde-d0e7-9cca-63ecf8f72f4d	True	Tulsa	Golden Hurricane	Tulsa	Tulsa	202	s:20~l:23~t:202
ORST	000000	dc4405	Oregon State Beavers	b6d75880-f28e-7a53-ae8a-bef390847086	True	Oregon State	Beavers	Oregon St	Oregon St	204	s:20~l:23~t:204
PSU	ffffff	061440	Penn State Nittany Lions	899b6845-67a4-16b2-c4a6-2406312be7fc	True	Penn State	Nittany Lions	Penn State	Penn State	213	s:20~l:23~t:213
TEM	ffffff	a41e35	Temple Owls	4fa12e74-d34d-ac36-c5ed-49486b795781	True	Temple	Owls	Temple	Temple	218	s:20~l:23~t:218
PITT	ffb81c	003594	Pittsburgh Panthers	f09e85bd-989f-dcff-53ac-0feda69b8959	True	Pittsburgh	Panthers	Pitt	Pitt	221	s:20~l:23~t:221
CLEM	ffffff	f56600	Clemson Tigers	02382072-a5a3-24ff-6bd1-422a029bd33c	True	Clemson	Tigers	Clemson	Clemson	228	s:20~l:23~t:228
MEM	8e908f	004991	Memphis Tigers	29a2a6b5-5874-ac84-39e4-b5ab605e7449	True	Memphis	Tigers	Memphis	Memphis	235	s:20~l:23~t:235
VAN	cfae70	000000	Vanderbilt Commodores	f2c5bf52-4c7d-78ea-ce4d-6a91faee67c8	True	Vanderbilt	Commodores	Vanderbilt	Vanderbilt	238	s:20~l:23~t:238
BAY	ffb81c	154734	Baylor Bears	f09699d9-0894-3cf9-c5e4-cb392dfb72b8	True	Baylor	Bears	Baylor	Baylor	239	s:20~l:23~t:239
RICE	c1c6c8	00205b	Rice Owls	beb7c712-ded6-12a7-5f70-86c7344e288d	True	Rice	Owls	Rice	Rice	242	s:20~l:23~t:242
TA&M	ffffff	500000	Texas A&M Aggies	014788cd-231c-e33e-32c3-7e8d9a1e530f	True	Texas A&M	Aggies	Texas A&M	Texas A&M	245	s:20~l:23~t:245
