name,team,position,ovr,spd,str,agi,awr,acc,jmp,cod
Owen Allen,AIR FORCE,FB,88,86,84,85,,90,84,83
Blake Fletcher,AIR FORCE,WILL,84,82,78,82,,84,80,81
Luke Vonderhaar,AIR FORCE,RT,83,70,85,76,,83,79,64
Alec Falk,AIR FORCE,LG,82,67,89,70,,75,73,59
Liam Szarka,AIR FORCE,QB,82,86,67,88,,88,84,87
Nathan Elwood,AIR FORCE,LT,82,68,87,66,,78,79,59
Isaac Hubert,AIR FORCE,SAM,81,85,74,85,,90,83,78
Roger Jones Jr.,AIR FORCE,SS,81,88,65,87,,87,86,85
Will Duncan,AIR FORCE,P,78,68,25,60,,78,56,43
Korey Johnson,AIR FORCE,CB,77,90,54,87,,94,89,87
Dallas Daley,AIR FORCE,MIKE,75,83,72,79,,86,82,78
Jaylin Reese,AIR FORCE,REDG,75,80,77,79,,83,81,73
Jon Ashford,AIR FORCE,RG,74,58,90,56,,67,73,51
Rocco Conti,AIR FORCE,HB,74,87,62,85,,89,84,83
Tj Tarascio,AIR FORCE,LG,74,60,90,53,,75,75,51
Andrew Tillett,AIR FORCE,DT,73,74,80,71,,78,77,62
Derek Palmer,AIR FORCE,HB,73,85,71,84,,89,82,84
Luke Fisher,AIR FORCE,WILL,73,81,76,79,,83,79,75
Lukia Rawls Jr.,AIR FORCE,DT,73,67,83,66,,73,67,56
Brody Bujnoch,AIR FORCE,SAM,72,74,79,78,,83,78,72
Cory Dawson,AIR FORCE,QB,72,82,57,87,,88,80,84
Evan Kelley,AIR FORCE,HB,72,86,70,84,,89,83,85
Gage Ladue,AIR FORCE,FB,72,80,67,78,,81,68,77
Sidney Davis,AIR FORCE,HB,72,88,64,89,,93,82,91
Cris Pickett,AIR FORCE,TE,71,74,66,78,,83,78,75
Jonathan Thierry,AIR FORCE,WR,71,88,61,87,,89,83,88
Josh Johnson,AIR FORCE,QB,71,85,62,84,,87,88,81
Jt Tomescko,AIR FORCE,FS,71,87,65,82,,89,85,80
Marcus Roser,AIR FORCE,RT,71,61,83,56,,68,64,53
Matt Long,AIR FORCE,WR,71,85,67,87,,89,85,85
Mikhail Seiken,AIR FORCE,CB,71,87,63,83,,89,85,82
Rudy Varela,AIR FORCE,C,71,70,83,68,,75,65,51
Adam Hrynciw,AIR FORCE,WR,70,88,58,83,,89,75,73
Desean Davis,AIR FORCE,REDG,70,79,68,76,,84,81,69
Houston Hendrix,AIR FORCE,SS,70,85,59,84,,87,78,82
Jalen Rucker,AIR FORCE,LT,70,69,80,79,,82,79,51
Jayden Oquendo,AIR FORCE,DT,70,66,76,64,,79,75,50
Kentrell Duval,AIR FORCE,HB,70,88,63,90,,94,85,91
Nick Beckwith,AIR FORCE,SS,70,87,56,86,,91,87,86
Owen Chambers,AIR FORCE,WR,70,86,71,84,,88,85,81
Stephen Snider,AIR FORCE,K,70,69,50,69,,69,67,69
Derrick Lindsey,AIR FORCE,HB,69,88,61,88,,94,85,90
Javier Flowers,AIR FORCE,HB,69,88,63,89,,94,82,92
Vinnie Canosa,AIR FORCE,MIKE,69,80,78,83,,85,84,78
Amari Wilkerson,AIR FORCE,WR,68,88,59,86,,89,83,85
Jalen Davis,AIR FORCE,LEDG,68,76,63,77,,79,82,73
Johnique Thomas,AIR FORCE,C,68,66,84,66,,73,73,52
Neil Barnes,AIR FORCE,K,68,69,53,63,,69,59,62
Brody Smith,AIR FORCE,RG,67,62,83,69,,74,55,52
Brody Whitson,AIR FORCE,LEDG,67,76,77,76,,81,75,69
Damien Weaver,AIR FORCE,CB,67,88,56,87,,89,84,85
Davante Williamson,AIR FORCE,CB,67,88,55,88,,90,84,90
Jake Kepler,AIR FORCE,SAM,67,78,72,73,,81,81,71
James Cassidy,AIR FORCE,FS,67,88,50,88,,92,86,85
Jordan Gant,AKRON,HB,84,88,76,87,,91,86,86
Marcel Williams,AKRON,WR,82,89,67,87,,91,86,87
Kyan Mason,AKRON,WR,80,90,44,90,,93,88,89
Conner Cravack,AKRON,TE,77,76,68,75,,80,85,71
Colin Lyons,AKRON,C,76,60,83,64,,68,67,55
Joseph Castle,AKRON,P,76,65,59,68,,65,71,65
Matthew Schram,AKRON,K,76,70,46,63,,71,71,61
Ronald Hull,AKRON,DT,76,64,85,57,,74,67,48
Sean Patrick,AKRON,HB,76,90,73,86,,91,87,85
Taven Curry,AKRON,HB,76,85,74,83,,88,83,82
Allen Jones Jr.,AKRON,RT,75,69,84,68,,75,73,55
Caiden Newsome,AKRON,CB,75,89,53,86,,90,88,86
Dawayne Galloway Jr.,AKRON,CB,75,94,49,89,,96,93,88
Miles Burris,AKRON,WR,75,86,68,84,,88,87,83
Cyrus Durham,AKRON,REDG,74,77,77,75,,82,80,70
Melvin Puckett,AKRON,LG,74,62,87,65,,68,69,48
Vaughn Highland,AKRON,DT,74,61,87,55,,71,72,44
Cordale Bulluck,AKRON,HB,73,88,70,87,,92,83,88
Dwight Nundo,AKRON,MIKE,73,79,79,78,,85,84,78
Jeremiah Jones,AKRON,WILL,73,77,84,77,,81,82,76
Marquense Williams,AKRON,HB,73,89,56,88,,92,84,85
Maurice Lacey,AKRON,HB,73,86,77,87,,90,83,88
Reese Poffenbarger,AKRON,QB,73,76,63,78,,83,75,77
Alex Branch,AKRON,CB,72,87,54,85,,89,84,84
Kurtis Waye,AKRON,LEDG,72,77,82,75,,81,80,71
Mehki Flowers,AKRON,FS,72,87,65,84,,91,85,81
Terrence Thomas,AKRON,CB,72,86,55,82,,88,82,80
Channing Bradshaw,AKRON,K,71,70,50,71,,66,50,73
Dayne Shor,AKRON,LT,71,56,86,62,,70,72,52
Rodrick Hunter,AKRON,SS,71,85,59,83,,87,83,79
Zach Hobson,AKRON,CB,71,89,58,87,,87,89,84
Dahvon Frazier,AKRON,LEDG,70,79,65,77,,84,76,73
Titus Myers,AKRON,WR,70,88,47,87,,91,89,86
Wyatt Hook,AKRON,TE,70,78,76,80,,87,84,75
Amarie Archer,AKRON,LG,69,59,84,52,,65,61,50
Cameron Monteiro,AKRON,WR,69,87,60,85,,87,87,83
Ian Falkner,AKRON,LT,69,58,85,57,,73,66,51
Jaborree Riggins,AKRON,WR,69,87,52,86,,88,75,87
Keyveon Johnson,AKRON,CB,69,86,60,83,,89,83,78
Brandon Hills,AKRON,WR,68,90,50,88,,90,88,87
Brayden Roggow,AKRON,QB,68,82,56,80,,84,66,78
Carlos Slayden,AKRON,RG,68,65,85,64,,73,72,55
Gentz Hilburn,AKRON,WR,68,84,68,87,,86,90,85
Iesa Jarmon,AKRON,CB,68,88,57,86,,90,88,85
Semaj Beals,AKRON,QB,68,78,55,75,,79,81,75
Daymon David,AKRON,SS,67,89,61,86,,92,91,84
Dion Reece,AKRON,TE,67,74,75,78,,83,79,74
Gavin James,AKRON,MIKE,67,80,76,76,,83,80,77
Jahvon Frazier,AKRON,REDG,67,74,72,74,,78,72,67
Jason Hocker,AKRON,WILL,67,77,71,77,,82,78,73
Jon'Trell Mixon,AKRON,DT,67,72,81,72,,79,71,64
Jonas Mann,AKRON,RT,67,54,87,59,,63,66,53
Luke Sivon,AKRON,WR,67,84,67,82,,86,81,79
Tairan Davis Jr.,AKRON,FS,67,86,54,83,,89,82,79
Bray Hubbard,ALABAMA,SS,94,89,78,88,,92,87,85
Zabien Brown,ALABAMA,CB,92,94,65,93,,94,93,92
Ryan Coleman-Williams,ALABAMA,WR,91,95,56,99,,98,95,97
Yhonzae Pierre,ALABAMA,REDG,91,88,82,91,,94,89,81
Keon Sabb,ALABAMA,FS,90,90,74,90,,93,92,85
Dijon Lee Jr.,ALABAMA,CB,88,92,75,92,,90,95,89
Michael Carroll,ALABAMA,RT,87,71,90,71,,85,77,61
Darnell Brewster,ALABAMA,DT,85,65,89,64,,81,77,51
Jah-Marien Latham,ALABAMA,LEDG,85,74,85,74,,80,69,67
Devan Thompkins,ALABAMA,LEDG,84,76,85,75,,86,79,69
Kedrick Bingley-Jones,ALABAMA,DT,84,70,91,69,,85,78,56
Noah Rogers,ALABAMA,WR,84,92,67,91,,93,92,88
Xavier Mckoy,ALABAMA,DT,84,61,95,62,,72,71,41
Caleb Woodson,ALABAMA,WILL,83,86,75,81,,89,84,75
Daniel Hill,ALABAMA,HB,83,87,80,83,,90,86,84
Ak Dear,ALABAMA,HB,82,91,73,87,,94,90,85
Austin Mack,ALABAMA,QB,82,79,78,79,,82,76,80
Edric Hill,ALABAMA,DT,82,73,85,72,,83,73,61
Ivan Taylor,ALABAMA,SS,82,91,59,91,,93,88,88
Keelon Russell,ALABAMA,QB,82,88,63,91,,92,89,88
Kevin Riley,ALABAMA,HB,82,90,66,90,,92,85,88
London Simmons,ALABAMA,DT,82,69,87,71,,77,75,61
Terrance Green,ALABAMA,DT,82,63,93,62,,74,72,50
Tyshawn Toney,ALABAMA,HB,82,88,79,85,,91,85,86
Julien Jenkins,ALABAMA,WR,81,90,64,89,,93,87,90
Levi Hubbard,ALABAMA,C,81,56,92,65,,64,67,51
Mitch King,ALABAMA,K,81,72,50,73,,75,60,72
R.J. Rogers,ALABAMA,WR,81,92,66,90,,94,92,90
Bubba Rodgers,ALABAMA,RT,80,60,86,73,,74,74,59
Jamario Alexander,ALABAMA,LEDG,80,71,88,73,,78,75,58
Jerrick Coleman,ALABAMA,HB,80,88,78,85,,92,82,85
Justin Hill,ALABAMA,REDG,80,86,69,87,,91,85,75
Kirkland Marshall,ALABAMA,LEDG,80,71,89,70,,77,76,55
Kyler Johnson,ALABAMA,DT,80,63,91,65,,75,73,50
Red Morgan,ALABAMA,FS,80,91,62,91,,93,89,90
Zyon Smith-Tolbert,ALABAMA,CB,80,92,54,90,,94,93,87
Antonio Parks Iii,ALABAMA,CB,79,91,59,89,,94,93,87
Khalifa Keith,ALABAMA,HB,79,83,84,77,,87,82,76
Walter Cannon,ALABAMA,DT,79,64,88,63,,77,75,45
Dre Kirkpatrick Jr.,ALABAMA,FS,78,90,65,89,,91,89,86
Ethan Fields,ALABAMA,RG,78,58,89,68,,68,62,55
Kaleb Edwards,ALABAMA,TE,78,86,74,81,,85,85,76
Alex Moore Iii,ALABAMA,K,77,69,60,65,,65,71,67
Chuck Mcdonald Iii,ALABAMA,CB,77,93,67,87,,91,90,85
Jackson Lloyd,ALABAMA,LT,77,61,88,65,,72,83,58
Jayvin James,ALABAMA,LT,77,69,86,69,,75,73,57
Josh Ford,ALABAMA,TE,77,80,68,78,,86,85,75
Kaveion Piper,ALABAMA,WILL,77,81,84,79,,91,85,71
Noah Vallow,ALABAMA,P,77,73,53,72,,72,62,70
Zavier Mincey,ALABAMA,FS,77,91,58,91,,94,90,91
Darius Rollins,ALABAMA,CB,76,92,60,90,,94,91,92
Derek Meadows,ALABAMA,WR,76,89,72,88,,87,94,84
Derrick Vincent-Douglas,ALABAMA,REDG,76,73,84,74,,81,78,60
Desmond Umezulu,ALABAMA,REDG,76,80,80,78,,88,85,70
Isaiah Mcdonald,ALABAMA,LEDG,76,71,87,74,,80,75,60
Quinton Overstreet,ALABAMA,CB,76,90,71,88,,93,91,86
Ty Haywood,ALABAMA,RT,76,72,85,74,,82,78,59
Casey Poe,ALABAMA,RG,75,68,93,73,,80,79,64
Decorey Anderson,ALABAMA,LT,75,56,92,67,,68,70,50
Jay Lindsey,ALABAMA,TE,75,79,78,80,,84,86,76
Jeremiah Beaman,ALABAMA,DT,75,76,83,78,,88,81,69
Qb Reese,ALABAMA,MIKE,75,89,67,87,,92,88,83
Terrell Perry,ALABAMA,LG,75,58,88,70,,71,73,56
Eli Rivers,ALABAMA,QB,74,84,70,86,,86,81,84
Marshall Pritchett,ALABAMA,TE,74,83,65,82,,85,85,79
