player_name,team,position,nil_standard_value,source_url,name_key,team_key
Duce Robinson,Florida State,WR,1500000,https://thenilstandard.com/football/players/duce-robinson,ducerobinson,floridastate
Xavier Chaplin,Florida State,OT,1328000,https://thenilstandard.com/football/players/xavier-chaplin,xavierchaplin,floridastate
Nate Pabst,Florida State,OT,1152000,https://thenilstandard.com/football/players/nate-pabst,natepabst,floridastate
Rylan Kennedy,Florida State,EDGE,1108800,https://thenilstandard.com/football/players/rylan-kennedy,rylankennedy,floridastate
Mandrell Desir,Florida State,EDGE,908143,https://thenilstandard.com/football/players/mandrell-desir,mandrelldesir,floridastate
Ashlynd Barker,Florida State,S,833119,https://thenilstandard.com/football/players/ashlynd-barker,ashlyndbarker,floridastate
Ashton Daniels,Florida State,QB,800000,https://thenilstandard.com/football/players/ashton-daniels,ashtondaniels,floridastate
Daniel Lyons,Florida State,DT,799820,https://thenilstandard.com/football/players/daniel-lyons,daniellyons,floridastate
Micahi Danzy,Florida State,WR,716313,https://thenilstandard.com/football/players/micahi-danzy,micahidanzy,floridastate
Ma'Khi Jones,Florida State,S,648000,https://thenilstandard.com/football/players/makhi-jones,makhijones,floridastate
Bradyn Joiner,Florida State,IOL,627000,https://thenilstandard.com/football/players/bradyn-joiner,bradynjoiner,floridastate
Nehemiah Chandler,Florida State,CB,626984,https://thenilstandard.com/football/players/nehemiah-chandler,nehemiahchandler,floridastate
Jayvan Boggs,Florida State,WR,602745,https://thenilstandard.com/football/players/jayvan-boggs,jayvanboggs,floridastate
Ja'Bril Rawls,Florida State,CB,601822,https://thenilstandard.com/football/players/jabril-rawls,jabrilrawls,floridastate
Chuck Kennon,Florida State,CB,579600,https://thenilstandard.com/football/players/chuck-kennon,chuckkennon,floridastate
Paul Bowling,Florida State,IOL,570000,https://thenilstandard.com/football/players/paul-bowling,paulbowling,floridastate
Quintrevion Wisner,Florida State,RB,564283,https://thenilstandard.com/football/players/quintrevion-wisner,quintrevionwisner,floridastate
Desirrio Riles,Florida State,TE,545151,https://thenilstandard.com/football/players/desirrio-riles,desirrioriles,floridastate
CJ Richard,Florida State,S,540000,https://thenilstandard.com/football/players/cj-richard,cjrichard,floridastate
Mikai Gbayor,Florida State,LB,482359,https://thenilstandard.com/football/players/mikai-gbayor,mikaigbayor,floridastate
Chris Jones Jr.,Florida State,LB,477379,https://thenilstandard.com/football/players/chris-jones-jr,chrisjones,floridastate
Kevin Sperry,Florida State,QB,461596,https://thenilstandard.com/football/players/kevin-sperry,kevinsperry,floridastate
Kevin Wynn,Florida State,DT,421432,https://thenilstandard.com/football/players/kevin-wynn,kevinwynn,floridastate
André Otto,Florida State,IOL,399000,https://thenilstandard.com/football/players/andre-otto,andreotto,floridastate
Landen Thomas,Florida State,TE,361216,https://thenilstandard.com/football/players/landen-thomas,landenthomas,floridastate
Darryll Desir,Florida State,EDGE,311711,https://thenilstandard.com/football/players/darryll-desir,darrylldesir,floridastate
Deante McCray,Florida State,DT,277500,https://thenilstandard.com/football/players/deante-mccray,deantemccray,floridastate
Jordan Sanders,Florida State,DT,262303,https://thenilstandard.com/football/players/jordan-sanders,jordansanders,floridastate
Jonathan Daniels,Florida State,OT,249103,https://thenilstandard.com/football/players/jonathan-daniels,jonathandaniels,floridastate
Chimdia Nwaiwu,Florida State,OT,226968,https://thenilstandard.com/football/players/chimdia-nwaiwu,chimdianwaiwu,floridastate
Blake Nichelson,Florida State,LB,226583,https://thenilstandard.com/football/players/blake-nichelson,blakenichelson,floridastate
Omar Graham Jr.,Florida State,LB,223405,https://thenilstandard.com/football/players/omar-graham-jr,omargraham,floridastate
K.J. Kirkland,Florida State,S,210000,https://thenilstandard.com/football/players/kj-kirkland,kjkirkland,floridastate
Karson Hobbs,Florida State,S,206370,https://thenilstandard.com/football/players/karson-hobbs,karsonhobbs,floridastate
Quindarrius Jones,Florida State,CB,201700,https://thenilstandard.com/football/players/quindarrius-jones,quindarriusjones,floridastate
JA Jalen Anderson,Florida State,EDGE,172200,https://thenilstandard.com/football/players/jalen-anderson,jajalenanderson,floridastate
Deamontae Diggs,Florida State,EDGE,171355,https://thenilstandard.com/football/players/deamontae-diggs,deamontaediggs,floridastate
Tae'Shaun Gelsey,Florida State,WR,161241,https://thenilstandard.com/football/players/taeshaun-gelsey,taeshaungelsey,floridastate
Ousmane Kromah,Florida State,RB,155509,https://thenilstandard.com/football/players/ousmane-kromah,ousmanekromah,floridastate
Chavez Thompson,Florida State,IOL,147797,https://thenilstandard.com/football/players/chavez-thompson,chavezthompson,floridastate
Jayden Todd,Florida State,IOL,147797,https://thenilstandard.com/football/players/jayden-todd,jaydentodd,floridastate
Teriq Mallory,Florida State,WR,133678,https://thenilstandard.com/football/players/teriq-mallory,teriqmallory,floridastate
Daniel Hughes,Florida State,P,132000,https://thenilstandard.com/football/players/daniel-hughes,danielhughes,floridastate
Tylon Lee,Florida State,DT,126183,https://thenilstandard.com/football/players/tylon-lee,tylonlee,floridastate
Jamari Howard,Florida State,CB,107767,https://thenilstandard.com/football/players/jamari-howard,jamarihoward,floridastate
MM Malachi Marshall,Florida State,QB,100800,https://thenilstandard.com/football/players/malachi-marshall,mmmalachimarshall,floridastate
Gabe Panikowski,Florida State,K,100800,https://thenilstandard.com/football/players/gabe-panikowski,gabepanikowski,floridastate
Max Redmon,Florida State,S,100154,https://thenilstandard.com/football/players/max-redmon,maxredmon,floridastate
Donny Hiebert,Florida State,S,96767,https://thenilstandard.com/football/players/donny-hiebert,donnyhiebert,floridastate
Samuel Singleton Jr.,Florida State,RB,94081,https://thenilstandard.com/football/players/samuel-singleton-jr,samuelsingleton,floridastate
Jarvis Boatwright Jr.,Florida State,S,92117,https://thenilstandard.com/football/players/jarvis-boatwright-jr,jarvisboatwright,floridastate
Earnest Rankins,Florida State,DT,88000,https://thenilstandard.com/football/players/earnest-rankins,earnestrankins,floridastate
CM Conor McAneney,Florida State,K,84000,https://thenilstandard.com/football/players/conor-mcaneney,cmconormcaneney,floridastate
DW Darryon Williams,Florida State,WR,81425,https://thenilstandard.com/football/players/darryon-williams,dwdarryonwilliams,floridastate
Chase Loftin,Florida State,TE,80666,https://thenilstandard.com/football/players/chase-loftin,chaseloftin,floridastate
Jaden O'Neal,Florida State,QB,80000,https://thenilstandard.com/football/players/jaden-oneal,jadenoneal,floridastate
DA Donald Akhibi,Florida State,OT,80000,https://thenilstandard.com/football/players/donald-akhibi,dadonaldakhibi,floridastate
Caleb LaVallee,Florida State,LB,78245,https://thenilstandard.com/football/players/caleb-lavallee,caleblavallee,floridastate
LF Luke Francis,Florida State,IOL,75000,https://thenilstandard.com/football/players/luke-francis,lflukefrancis,floridastate
SP Steven Pickard,Florida State,IOL,75000,https://thenilstandard.com/football/players/steven-pickard,spstevenpickard,floridastate
MI Mike Ionata,Florida State,IOL,75000,https://thenilstandard.com/football/players/mike-ionata,mimikeionata,floridastate
Xavier Tiller,Florida State,TE,75000,https://thenilstandard.com/football/players/xavier-tiller,xaviertiller,floridastate
Izayia Williams,Florida State,LB,68000,https://thenilstandard.com/football/players/izayia-williams,izayiawilliams,floridastate
Jaemin Pinckney,Florida State,EDGE,61000,https://thenilstandard.com/football/players/jaemin-pinckney,jaeminpinckney,floridastate
Franklin Whitley,Florida State,DT,61000,https://thenilstandard.com/football/players/franklin-whitley,franklinwhitley,floridastate
CB Caleb Bowers,Florida State,LS,60000,https://thenilstandard.com/football/players/caleb-bowers,cbcalebbowers,floridastate
Jasen Lopez,Florida State,WR,58000,https://thenilstandard.com/football/players/jasen-lopez,jasenlopez,floridastate
JD Judah Daniels,Florida State,DT,50000,https://thenilstandard.com/football/players/judah-daniels,jdjudahdaniels,floridastate
Amari Thomas,Florida State,RB,47000,https://thenilstandard.com/football/players/amari-thomas,amarithomas,floridastate
EJ White,Florida State,ATH,47000,https://thenilstandard.com/football/players/ej-white,ejwhite,floridastate
Devin Carter,Florida State,WR,47000,https://thenilstandard.com/football/players/devin-carter,devincarter,floridastate
BB Brandon Bennett,Florida State,WR,47000,https://thenilstandard.com/football/players/brandon-bennett,bbbrandonbennett,floridastate
JW Jonah Winston,Florida State,WR,38000,https://thenilstandard.com/football/players/jonah-winston,jwjonahwinston,floridastate
NL Noah LaVallee,Florida State,LB,30000,https://thenilstandard.com/football/players/noah-lavallee,nlnoahlavallee,floridastate
Carter Jula,Florida State,P,29399,https://thenilstandard.com/football/players/carter-jula,carterjula,floridastate
