player_name,team,position,nil_standard_value,source_url,name_key,team_key
Arch Manning,Texas,QB,6800000,https://thenilstandard.com/football/players/arch-manning,archmanning,texas
Darian Mensah,Miami,QB,6500000,https://thenilstandard.com/football/players/darian-mensah,darianmensah,miami
Trinidad Chambliss,Ole Miss,QB,6000000,https://thenilstandard.com/football/players/trinidad-chambliss,trinidadchambliss,olemiss
Jeremiah Smith,Ohio State,WR,5000000,https://thenilstandard.com/football/players/jeremiah-smith,jeremiahsmith,ohiostate
Dante Moore,Oregon,QB,5000000,https://thenilstandard.com/football/players/dante-moore,dantemoore,oregon
Demond Williams Jr.,Washington,QB,4500000,https://thenilstandard.com/football/players/demond-williams-jr,demondwilliams,washington
Josh Hoover,Indiana,QB,4000000,https://thenilstandard.com/football/players/josh-hoover-indiana,joshhoover,indiana
Jordan Seaton,LSU,OT,4000000,https://thenilstandard.com/football/players/jordan-seaton-lsu,jordanseaton,lsu
Drew Mestemaker,Oklahoma State,QB,3750000,https://thenilstandard.com/football/players/drew-mestemaker,drewmestemaker,oklahomastate
John Mateer,Oklahoma,QB,3000000,https://thenilstandard.com/football/players/john-mateer,johnmateer,oklahoma
CJ Carr,Notre Dame,QB,3000000,https://thenilstandard.com/football/players/cj-carr,cjcarr,notredame
Cam Coleman,Texas,WR,3000000,https://thenilstandard.com/football/players/cam-coleman,camcoleman,texas
Byrum Brown,Auburn,QB,3000000,https://thenilstandard.com/football/players/byrum-brown,byrumbrown,auburn
Marcel Reed,Texas A&M,QB,3000000,https://thenilstandard.com/football/players/marcel-reed-texas-am,marcelreed,texasam
Bryce Underwood,Michigan,QB,3000000,https://thenilstandard.com/football/players/bryce-underwood,bryceunderwood,michigan
Jayden Maiava,USC,QB,2500000,https://thenilstandard.com/football/players/jayden-maiava,jaydenmaiava,usc
CJ Bailey,NC State,QB,2500000,https://thenilstandard.com/football/players/cj-bailey,cjbailey,ncstate
Mason Heintschel,Pittsburgh,QB,2500000,https://thenilstandard.com/football/players/mason-heintschel,masonheintschel,pittsburgh
Jackson Cantwell,Miami,OT,2500000,https://thenilstandard.com/football/players/jackson-cantwell,jacksoncantwell,miami
Colin Simmons,Texas,EDGE,2500000,https://thenilstandard.com/football/players/colin-simmons,colinsimmons,texas
Conner Weigman,Houston,QB,2427084,https://thenilstandard.com/football/players/conner-weigman,connerweigman,houston
Julian Sayin,Ohio State,QB,2406734,https://thenilstandard.com/football/players/julian-sayin,juliansayin,ohiostate
Jaylen Raynor,Iowa State,QB,2282192,https://thenilstandard.com/football/players/jaylen-raynor,jaylenraynor,iowastate
Katin Houser,Illinois,QB,2179130,https://thenilstandard.com/football/players/katin-houser,katinhouser,illinois
Jaden Craig,TCU,QB,2160000,https://thenilstandard.com/football/players/jaden-craig,jadencraig,tcu
Austin Mack,Alabama,QB,2157853,https://thenilstandard.com/football/players/austin-mack,austinmack,alabama
Beau Pribula,Virginia,QB,2093952,https://thenilstandard.com/football/players/beau-pribula,beaupribula,virginia
Colton Joseph,Wisconsin,QB,2079716,https://thenilstandard.com/football/players/colton-joseph,coltonjoseph,wisconsin
Walker Eget,Duke,QB,2052000,https://thenilstandard.com/football/players/walker-eget,walkereget,duke
Nico Iamaleava,UCLA,QB,2040000,https://thenilstandard.com/football/players/nico-iamaleava,nicoiamaleava,ucla
Kewan Lacy,Ole Miss,RB,2000000,https://thenilstandard.com/football/players/kewan-lacy,kewanlacy,olemiss
Wendell Gregory,Kansas State,EDGE,2000000,https://thenilstandard.com/football/players/wendell-gregory,wendellgregory,kansasstate
Jared Curtis,Vanderbilt,QB,2000000,https://thenilstandard.com/football/players/jared-curtis,jaredcurtis,vanderbilt
Dylan Stewart,South Carolina,EDGE,2000000,https://thenilstandard.com/football/players/dylan-stewart,dylanstewart,southcarolina
